gweventname,J124942.30+344928.9,J183412.42+365655.3,J181719.94+541910.0,J224333.95+760619.2,J120437.98+500024.0,J154342.46+461233.4
GW190408_181802,False,False,False,False,False,False
GW190412,False,False,False,False,False,False
GW190413_052954,False,False,False,False,False,False
GW190413_134308,False,False,False,False,False,False
GW190421_213856,False,False,False,False,False,False
GW190424_180648,False,False,True,True,False,False
GW190425,False,False,False,False,False,False
GW190426_152155,False,False,False,False,False,False
GW190503_185404,False,False,False,False,False,False
GW190512_180714,False,False,False,False,False,False
GW190513_205428,False,False,False,False,False,False
GW190514_065416,True,False,False,True,False,False
GW190517_055101,False,False,False,False,False,False
GW190519_153544,False,False,False,False,False,False
GW190521,True,False,False,False,False,False
GW190521_074359,False,False,False,False,False,False
GW190527_092055,False,False,False,False,False,False
GW190602_175927,False,False,False,False,False,False
GW190620_030421,False,False,False,False,True,False
GW190630_185205,False,False,False,False,False,False
GW190701_203306,False,False,False,False,False,False
GW190706_222641,False,False,False,False,False,False
GW190707_093326,False,False,False,False,False,False
GW190708_232457,False,False,False,False,False,False
GW190719_215514,False,False,False,False,False,False
GW190720_000836,False,False,False,False,False,False
GW190727_060333,False,False,False,False,False,False
GW190728_064510,False,False,False,False,False,False
GW190731_140936,False,False,False,False,False,False
GW190803_022701,False,False,False,False,True,False
GW190814,False,False,False,False,False,False
GW190828_063405,False,False,False,False,False,False
GW190828_065509,False,False,False,False,False,False
GW190909_114149,False,False,False,False,True,False
GW190910_112807,False,False,False,False,False,False
GW190915_235702,False,False,False,False,False,False
GW190924_021846,False,False,False,False,False,False
GW190929_012149,False,False,False,False,False,False
GW190930_133541,False,False,False,False,False,False
GW190403_051519,True,False,False,False,False,False
GW190426_190642,False,False,False,False,False,False
GW190725_174728,False,False,False,False,False,False
GW190805_211137,False,False,False,False,False,False
GW190916_200658,False,False,False,False,False,False
GW190917_114630,False,False,False,False,False,False
GW190925_232845,False,False,False,False,False,False
GW190926_050336,False,False,False,False,False,False
GW191103_012549,False,False,False,False,False,False
GW191105_143521,False,False,False,False,False,False
GW191109_010717,False,False,False,False,False,False
GW191113_071753,False,False,False,False,False,False
GW191126_115259,False,False,False,False,False,False
GW191127_050227,False,False,False,False,False,False
GW191129_134029,False,False,False,False,False,False
GW191204_110529,False,False,False,False,False,False
GW191204_171526,False,False,False,False,False,False
GW191215_223052,False,False,False,False,False,False
GW191216_213338,False,False,False,False,False,False
GW191219_163120,False,False,False,False,False,False
GW191222_033537,False,False,False,False,False,False
GW191230_180458,False,False,False,False,False,False
GW200105_162426,False,False,False,False,False,False
GW200112_155838,False,False,False,False,False,False
GW200115_042309,False,False,False,False,False,False
GW200128_022011,False,False,False,False,False,False
GW200129_065458,False,False,False,False,False,False
GW200202_154313,False,False,False,False,False,False
GW200208_130117,False,False,False,False,False,False
GW200208_222617,False,False,False,False,False,False
GW200209_085452,False,False,False,False,False,False
GW200210_092254,False,False,False,False,False,False
GW200216_220804,False,False,False,False,False,False
GW200219_094415,False,False,False,False,False,False
GW200220_061928,False,False,False,False,False,False
GW200220_124850,False,False,False,False,False,False
GW200224_222234,False,False,False,False,False,False
GW200225_060421,False,False,False,False,False,False
GW200302_015811,False,False,False,False,False,False
GW200306_093714,False,False,False,False,False,False
GW200308_173609,False,False,False,False,False,False
GW200311_115853,False,False,False,False,False,False
GW200316_215756,False,False,False,False,False,False
GW200322_091133,False,False,False,False,False,False
