gweventname,J120437.98+500024.0,J124942.30+344928.9,J140941.88+552928.1,J143157.51+451544.0,J143536.15+173755.4,J145500.22+321637.1,J152433.35+274311.6,J154342.46+461233.4,J154806.31+291216.3,J160822.16+401217.8,J161833.77+263226.0,J163641.61+092459.2,J181719.95+541910.0,J183412.42+365655.2,J224333.95+760619.2,J233252.05+034559.7,J233746.08-013116.3
GW190413_134308,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190421_213856,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190503_185404,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190514_065416,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
GW190519_153544,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190521,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190521_074359,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190602_175927,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190620_030421,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
GW190701_203306,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190706_222641,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190731_140936,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190910_112807,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190929_012149,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190403_051519,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190426_190642,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190805_211137,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190916_200658,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW190926_050336,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW191109_010717,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW191127_050227,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW191222_033537,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW191230_180458,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW200128_022011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW200208_222617,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW200216_220804,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW200220_061928,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW200224_222234,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GW200308_173609,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
