gweventname,J053408.41+085450.6,J120437.98+500024.0,J124942.30+344928.9,J154342.46+461233.4,J181719.94+541910.0,J183412.42+365655.3,J224333.95+760619.2
GW190408_181802*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190412*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190413_052954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190413_134308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190421_213856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190424_180648,0.0,0.0,0.0,0.0,0.0002694999777867497,0.0,0.0
GW190425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190426_152155*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190503_185404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190512_180714*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190513_205428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190514_065416,0.0,0.0,0.00012356323745489316,0.0,0.0,0.0,0.9596082136271946
GW190517_055101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190519_153544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190521,0.0,0.0,2.3834272074455267e-05,0.0,0.0,0.0,0.0
GW190521_074359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190527_092055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190602_175927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190620_030421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190630_185205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190701_203306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190706_222641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190707_093326*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190708_232457*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190719_215514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190720_000836*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190727_060333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190728_064510*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190731_140936,2.5823739869565037e-17,0.0,0.0,0.0,0.0,0.0,0.0
GW190803_022701,8.164885722801238e-17,5.073605989342541e-07,0.0,0.0,0.0,0.0,0.0
GW190814*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190828_063405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190828_065509*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190909_114149*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190910_112807*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190915_235702*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190924_021846*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190929_012149*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190930_133541*,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190403_051519,0.0,0.0,0.00036241204662420623,0.0,0.0,0.7646023401556374,0.0
GW190426_190642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190725_174728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190805_211137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190916_200658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190917_114630,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190925_232845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190926_050336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW191103_012549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW191105_143521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW191109_010717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW191113_071753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW191126_115259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW191127_050227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW191129_134029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW191204_110529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW191204_171526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW191215_223052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW191216_213338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW191219_163120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW191222_033537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW191230_180458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200105_162426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200112_155838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200115_042309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200128_022011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200129_065458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200202_154313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200208_130117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200208_222617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200209_085452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200210_092254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200216_220804,0.0,0.0,0.0,1.6128885800584547,0.0,0.0,0.0
GW200219_094415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200220_061928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200220_124850,0.0,0.0,0.0,0.9313516283304872,0.0,0.0,0.0
GW200224_222234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200225_060421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200302_015811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200306_093714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200308_173609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200311_115853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200316_215756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW200322_091133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW190909_114149,,1.7401134958884427e-06,,,,,
