aid,diffmaglim,fid,mjd,oid,sid,tid
"",20.1548,1,58514.207615700085,"ZTF18acukdvz","","ztf"
"",20.6268,1,58522.1668866002,"ZTF18acukdvz","","ztf"
"",19.4101,1,58534.1657292,"ZTF18acukdvz","","ztf"
"",19.0079,1,58538.18574069999,"ZTF18acukdvz","","ztf"
"",19.3388,1,58558.12937500002,"ZTF18acukdvz","","ztf"
"",19.0709,1,58561.195787000004,"ZTF18acukdvz","","ztf"
"",19.3747,1,58713.48850690015,"ZTF18acukdvz","","ztf"
"",19.7069,1,58716.50626160018,"ZTF18acukdvz","","ztf"
"",19.9627,1,58738.47883100016,"ZTF18acukdvz","","ztf"
"",19.6542,1,58744.517847199924,"ZTF18acukdvz","","ztf"
"",19.451,1,58744.522071800195,"ZTF18acukdvz","","ztf"
"",19.4708,1,58749.459629599936,"ZTF18acukdvz","","ztf"
"",20.2357,1,58749.50790510001,"ZTF18acukdvz","","ztf"
"",20.5533,1,58756.443726900034,"ZTF18acukdvz","","ztf"
"",20.671,1,58758.46276619984,"ZTF18acukdvz","","ztf"
"",20.4533,1,58760.46386570018,"ZTF18acukdvz","","ztf"
"",20.0617,1,58766.41063660011,"ZTF18acukdvz","","ztf"
"",18.1711,1,58772.338715299964,"ZTF18acukdvz","","ztf"
"",19.8315,1,58776.52547449991,"ZTF18acukdvz","","ztf"
"",19.5443,1,58833.2056828998,"ZTF18acukdvz","","ztf"
"",20.4367,1,58846.23311340017,"ZTF18acukdvz","","ztf"
"",20.1648,1,58853.446955999825,"ZTF18acukdvz","","ztf"
"",19.2855,1,58860.123356500175,"ZTF18acukdvz","","ztf"
"",18.6042,1,58879.149745400064,"ZTF18acukdvz","","ztf"
"",19.2911,1,59094.508333299775,"ZTF18acukdvz","","ztf"
"",19.5212,1,59096.49519680021,"ZTF18acukdvz","","ztf"
"",18.7149,1,59099.427534699906,"ZTF18acukdvz","","ztf"
"",20.3727,1,59114.523888899945,"ZTF18acukdvz","","ztf"
"",20.5334,1,59116.520972200204,"ZTF18acukdvz","","ztf"
"",20.3257,1,59150.45825230004,"ZTF18acukdvz","","ztf"
"",19.42,1,59152.36893519992,"ZTF18acukdvz","","ztf"
"",19.4204,1,59155.398611099925,"ZTF18acukdvz","","ztf"
"",20.607,1,59164.42108799983,"ZTF18acukdvz","","ztf"
"",20.7335,1,59166.44792820001,"ZTF18acukdvz","","ztf"
"",20.6197,1,59168.36642359989,"ZTF18acukdvz","","ztf"
"",20.5356,1,59170.428113400005,"ZTF18acukdvz","","ztf"
"",20.5973,1,59176.38050930016,"ZTF18acukdvz","","ztf"
"",18.4557,1,59249.16402779985,"ZTF18acukdvz","","ztf"
"",20.4296,1,59251.165161999874,"ZTF18acukdvz","","ztf"
"",20.6362,1,59253.19221059978,"ZTF18acukdvz","","ztf"
"",20.8046,1,59255.18747689994,"ZTF18acukdvz","","ztf"
"",20.9567,1,59257.184652800206,"ZTF18acukdvz","","ztf"
"",20.1501,1,59260.20825230004,"ZTF18acukdvz","","ztf"
"",19.9383,1,59263.16461810004,"ZTF18acukdvz","","ztf"
"",20.2968,1,59265.1713657002,"ZTF18acukdvz","","ztf"
"",19.8735,1,59268.18346060021,"ZTF18acukdvz","","ztf"
"",20.6932,1,59280.22201390006,"ZTF18acukdvz","","ztf"
"",20.2052,1,59290.20796300005,"ZTF18acukdvz","","ztf"
"",20.2794,1,59292.152361100074,"ZTF18acukdvz","","ztf"
"",19.2301,1,59296.17442130018,"ZTF18acukdvz","","ztf"
"",18.5863,1,59301.216898099985,"ZTF18acukdvz","","ztf"
"",18.9645,1,59303.200069400016,"ZTF18acukdvz","","ztf"
"",18.1236,1,59450.4427546002,"ZTF18acukdvz","","ztf"
"",19.4173,1,59453.450381900184,"ZTF18acukdvz","","ztf"
"",20.2214,1,59459.45193290012,"ZTF18acukdvz","","ztf"
"",20.4736,1,59503.46347220009,"ZTF18acukdvz","","ztf"
"",19.5671,1,59509.388773099985,"ZTF18acukdvz","","ztf"
"",20.6158,1,59517.442256900016,"ZTF18acukdvz","","ztf"
"",20.722,1,59521.339803200215,"ZTF18acukdvz","","ztf"
"",20.6157,1,59523.36946759978,"ZTF18acukdvz","","ztf"
"",20.5625,1,59525.3411921002,"ZTF18acukdvz","","ztf"
"",20.0127,1,59530.403194400016,"ZTF18acukdvz","","ztf"
"",20.2207,1,59841.40387730021,"ZTF18acukdvz","","ztf"
"",20.5199,1,59841.48724539997,"ZTF18acukdvz","","ztf"
