aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,diffmaglim,distnr,drb,drbversion,magap,magapbig,nid,rb,rbversion,rfid,sigmagap,sigmagapbig,step_id_corr
"","1092561936215015010",true,50.006626,false,"",0.340532,0.09696447,0.09957317,"",1,false,1,21.0055,19.670462,58846.56193289999,"ZTF19aascebl",1117450686215015000,1092561936215,181.1583927,"ztf","ztf",20.7449,0.317531,"","",20.8207,20.3847,1092,0.831429,"t17_f5_c3","",0.4096,0.3509,"bulk_1.0.0"
"","1101510426215015009",true,50.0067756,false,"",0.359748,0.09945946,0.10206645,"",1,false,1,21.0515,19.683712,58855.51042820001,"ZTF19aascebl",1124493516215015000,1101510426215,181.1581929,"ztf","ztf",20.5204,0.383986,"","",20.874,20.6674,1101,0.764286,"t17_f5_c3","",0.4488,0.4747,"bulk_1.0.0"
"","1112414365115015012",true,50.0066205,false,"",0.345358,0.110521995,0.11170834,"",1,false,1,20.7832,19.55774,58866.41436340008,"ZTF19aascebl",1124493516215015000,1112414365115,181.1580405,"ztf","ztf",20.5206,0.719855,"","",20.1815,20.2048,1112,0.438571,"t17_f5_c3","",0.2793,0.3652,"bulk_1.0.0"
"","1112551556215015012",true,50.0067347,false,"",0.376078,0.11797232,0.119968176,"",1,false,1,20.8694,19.62887,58866.5515509001,"ZTF19aascebl",1124493516215015000,1112551556215,181.1584284,"ztf","ztf",20.4086,0.307438,"","",20.7157,20.0867,1112,0.788571,"t17_f5_c3","",0.4824,0.3468,"bulk_1.0.0"
"","1117450686215015015",true,50.0066802,false,"",0.19416842,0.08794244,0.08961462,"",1,false,1,20.213402,19.373903,58871.450682899915,"ZTF19aascebl",1124493516215015000,1117450686215,181.1584381,"ztf","ztf",20.507957,0.30380502,0.99999464,"d6_m7",19.9829,19.891,1117,0.9,"t17_f5_c3",755120162,0.1978,0.2318,"bulk_1.0.0"
"","1117452105115015007",true,50.00649,false,"",0.251493,0.106753066,0.10763221,"",1,false,1,20.297,19.375542,58871.452106500044,"ZTF19aascebl",1124493516215015000,1117452105115,181.1579793,"ztf","ztf",20.5245,1.16718,"","",19.8977,19.7646,1117,0.422857,"t17_f5_c3","",0.1811,0.2045,"bulk_1.0.0"
"","1121447925115015011",true,50.0067375,false,"",0.162532,0.073659636,0.07479041,"",1,false,1,20.1554,19.312668,58875.44792820001,"ZTF19aascebl",1150433346215015000,1121447925115,181.1577679,"ztf","ztf",20.5446,1.18504,"","",20.0892,20.0634,1121,0.588571,"t17_f5_c3","",0.1944,0.242,"bulk_1.0.0"
"","1121449346215015025",true,50.0067219,false,"",0.20844702,0.10142869,0.10271914,"",1,false,1,20.077345,19.308985,58875.44934030017,"ZTF19aascebl",1124493516215015000,1121449346215,181.1584613,"ztf","ztf",20.601707,0.36260688,0.99761033,"d6_m7",19.8539,19.8523,1121,0.7228571,"t17_f5_c3",755120162,0.1541,0.1955,"bulk_1.0.0"
"","1121515576215015015",true,50.0066684,false,"",0.233744,0.053046785,0.058832582,"",2,false,1,20.617,19.119194,58875.51557870023,"ZTF19aascebl",1124493516215015000,1121515576215,181.1584948,"ztf","ztf",20.5477,0.49972,"","",20.6163,20.6262,1121,0.948571,"t17_f5_c3","",0.4026,0.5182,"bulk_1.0.0"
"","1121516045115015007",true,50.00674,false,"",0.168043,0.051722024,0.055262804,"",2,false,1,20.2145,19.007032,58875.5160416998,"ZTF19aascebl",1124493516215015000,1121516045115,181.1579109,"ztf","ztf",20.6981,0.842412,"","",20.299,20.3298,1121,0.922857,"t17_f5_c3","",0.254,0.3321,"bulk_1.0.0"
