aid,diffmaglim,fid,mjd,oid,sid,tid
"",20.9084,1,58849.51106479997,"ZTF19aascebl","","ztf"
"",19.9636,1,58851.532847200055,"ZTF19aascebl","","ztf"
"",19.9831,1,58851.53871530015,"ZTF19aascebl","","ztf"
"",20.7761,1,58852.53843750013,"ZTF19aascebl","","ztf"
"",20.9468,1,58852.53934030002,"ZTF19aascebl","","ztf"
"",19.6492,1,58854.52800930012,"ZTF19aascebl","","ztf"
"",20.6529,1,58855.51182870008,"ZTF19aascebl","","ztf"
"",19.4666,1,58859.530509300064,"ZTF19aascebl","","ztf"
"",19.4724,1,58862.441689800005,"ZTF19aascebl","","ztf"
"",19.451,1,58862.44216440013,"ZTF19aascebl","","ztf"
"",20.5446,1,58875.44792820001,"ZTF19aascebl","","ztf"
"",18.8448,1,58888.303368099965,"ZTF19aascebl","","ztf"
"",18.9274,1,58890.537812499795,"ZTF19aascebl","","ztf"
"",20.2968,1,58893.44439810002,"ZTF19aascebl","","ztf"
"",19.5387,1,58909.269791699946,"ZTF19aascebl","","ztf"
"",20.4616,1,59674.41550929984,"ZTF19aascebl","","ztf"
"",20.328,1,59676.322754600085,"ZTF19aascebl","","ztf"
"",20.241,1,59676.3277083002,"ZTF19aascebl","","ztf"
"",19.5898,1,59682.21662040008,"ZTF19aascebl","","ztf"
"",19.3601,1,59683.28896989999,"ZTF19aascebl","","ztf"
"",19.3017,1,59684.28357640002,"ZTF19aascebl","","ztf"
"",19.224,1,59685.323437499814,"ZTF19aascebl","","ztf"
"",19.7711,1,59688.26407410018,"ZTF19aascebl","","ztf"
"",19.6623,1,59689.2838773001,"ZTF19aascebl","","ztf"
"",20.1492,1,59694.34251159988,"ZTF19aascebl","","ztf"
"",19.0685,1,59695.28150459984,"ZTF19aascebl","","ztf"
"",19.6785,1,59711.19896990014,"ZTF19aascebl","","ztf"
"",19.6587,1,59711.22331020003,"ZTF19aascebl","","ztf"
"",19.4514,1,59713.20423609996,"ZTF19aascebl","","ztf"
"",19.391,1,59713.32427080022,"ZTF19aascebl","","ztf"
"",20.7312,2,58846.46615740005,"ZTF19aascebl","","ztf"
"",20.5175,2,58849.4494097,"ZTF19aascebl","","ztf"
"",20.4457,2,58852.55118060019,"ZTF19aascebl","","ztf"
"",20.6518,2,58852.55208329996,"ZTF19aascebl","","ztf"
"",19.9399,2,58852.57791669993,"ZTF19aascebl","","ztf"
"",19.6805,2,58854.45762730017,"ZTF19aascebl","","ztf"
"",19.1018,2,58859.30744209979,"ZTF19aascebl","","ztf"
"",19.3099,2,58859.37226849981,"ZTF19aascebl","","ztf"
"",19.7937,2,58859.47458329983,"ZTF19aascebl","","ztf"
"",19.7209,2,58859.47699069977,"ZTF19aascebl","","ztf"
"",19.3466,2,58862.393055600114,"ZTF19aascebl","","ztf"
"",19.5395,2,58862.415161999874,"ZTF19aascebl","","ztf"
"",20.3625,2,58866.35765049979,"ZTF19aascebl","","ztf"
"",20.2382,2,58871.50969910016,"ZTF19aascebl","","ztf"
"",20.1926,2,58871.512002300005,"ZTF19aascebl","","ztf"
"",20.0222,2,58878.34550930001,"ZTF19aascebl","","ztf"
"",20.0757,2,58878.3646644,"ZTF19aascebl","","ztf"
"",19.2827,2,58884.507962999865,"ZTF19aascebl","","ztf"
"",19.0687,2,58888.42702550022,"ZTF19aascebl","","ztf"
"",19.0386,2,58890.44565969985,"ZTF19aascebl","","ztf"
"",19.4409,2,58911.24534719996,"ZTF19aascebl","","ztf"
"",19.9603,2,59676.350544000044,"ZTF19aascebl","","ztf"
"",20.381,2,59678.25969910016,"ZTF19aascebl","","ztf"
"",20.6035,2,59678.26114579989,"ZTF19aascebl","","ztf"
"",19.6361,2,59680.34101849981,"ZTF19aascebl","","ztf"
"",19.573,2,59682.32284720009,"ZTF19aascebl","","ztf"
"",19.7322,2,59683.35951389978,"ZTF19aascebl","","ztf"
"",19.4384,2,59684.34380789986,"ZTF19aascebl","","ztf"
"",19.6431,2,59685.23756940011,"ZTF19aascebl","","ztf"
"",19.5829,2,59687.344421300106,"ZTF19aascebl","","ztf"
"",20.0368,2,59688.322453700006,"ZTF19aascebl","","ztf"
"",19.9159,2,59689.262777800206,"ZTF19aascebl","","ztf"
"",20.0906,2,59693.28090280015,"ZTF19aascebl","","ztf"
"",20.3776,2,59694.23648149986,"ZTF19aascebl","","ztf"
"",20.4252,2,59695.24303240003,"ZTF19aascebl","","ztf"
"",20.4939,2,59703.290092600044,"ZTF19aascebl","","ztf"
"",19.8812,2,59709.17586810002,"ZTF19aascebl","","ztf"
"",20.0521,2,59709.19881939981,"ZTF19aascebl","","ztf"
"",20.0159,2,59709.261979199946,"ZTF19aascebl","","ztf"
"",19.3684,2,59711.269571799785,"ZTF19aascebl","","ztf"
"",19.3473,2,59711.27986110002,"ZTF19aascebl","","ztf"
"",19.6055,2,59713.2410300998,"ZTF19aascebl","","ztf"
"",19.6152,2,59713.261111100204,"ZTF19aascebl","","ztf"
"",20.6019,2,59715.204201399814,"ZTF19aascebl","","ztf"
"",20.6156,2,59718.24945600005,"ZTF19aascebl","","ztf"
"",20.3059,2,59718.262048599776,"ZTF19aascebl","","ztf"
"",20.5684,2,59724.25748840021,"ZTF19aascebl","","ztf"
"",20.525,2,59724.28037039982,"ZTF19aascebl","","ztf"
"",20.8791,2,59726.19862269983,"ZTF19aascebl","","ztf"
"",20.2283,2,59731.245763900224,"ZTF19aascebl","","ztf"
