aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,diffmaglim,distnr,drb,drbversion,magap,magapbig,nid,rb,rbversion,rfid,sigmagap,sigmagapbig,step_id_corr
"","904182713215015008",true,34.8247075,false,"",0.244175,0.048637763,0.050270006,"",2,false,1,20.4087,18.69272,58658.18271989981,"ZTF19abanrhr",913208323215015000,904182713215,192.4262362,"ztf","ztf",20.6524,0.177578,"","",19.9136,19.9784,904,0.785714,"t17_f5_c3","",0.2216,0.2992,"bulk_1.0.0"
"","904203913215015005",true,34.8247379,false,"",0.19471532,0.05075147,0.051929783,"",1,false,1,20.22217,18.78721,58658.20391200017,"ZTF19abanrhr",913208323215015000,904203913215,192.4262166,"ztf","ztf",20.879032,0.12453532,0.9999997,"d6_m7",20.373,20.4284,904,0.9657143,"t17_f5_c3",672120132,0.2618,0.3488,"bulk_1.0.0"
"","906221814515015010",true,34.8247477,false,"",0.205134,0.04522621,0.048515722,"",2,false,1,20.2224,18.657013,58660.221817099955,"ZTF19abanrhr",920200694515015000,906221814515,192.4262037,"ztf","ztf",20.5777,0.102989,"","",19.8215,19.9717,906,0.845714,"t17_f5_c3","",0.208,0.3038,"bulk_1.0.0"
"","907225333215015028",true,34.8246583,false,"",0.221262,0.06436302,0.06522649,"",1,false,1,20.071,18.744793,58661.225335599855,"ZTF19abanrhr",913208323215015000,907225333215,192.4261593,"ztf","ztf",20.4114,0.453205,"","",19.5763,19.4681,907,0.335714,"t17_f5_c3","",0.1564,0.1799,"bulk_1.0.0"
"","911268704515015005",true,34.8247207,false,"",0.17306143,0.050948452,0.053373814,"",2,false,1,19.826803,18.549623,58665.26870370004,"ZTF19abanrhr",920200694515015000,911268704515,192.4262559,"ztf","ztf",20.192236,0.15480979,0.9996711,"d6_m7",19.7856,19.6636,911,0.95,"t17_f5_c3",673120245,0.2835,0.3242,"bulk_1.0.0"
"","913208323215015015",true,34.8247382,false,"",0.14087835,0.04914877,0.050090373,"",1,false,1,19.769686,18.646961,58667.20832179999,"ZTF19abanrhr",916204423215015000,913208323215,192.4262711,"ztf","ztf",20.642551,0.14693648,0.99999976,"d6_m7",19.8422,19.7856,913,0.9728571,"t17_f5_c3",672120132,0.1944,0.2344,"bulk_1.0.0"
"","914193734515015006",true,34.8246883,false,"",0.15172786,0.056299902,0.0577819,"",1,false,1,19.660715,18.612532,58668.193738400005,"ZTF19abanrhr",920200694515015000,914193734515,192.4263013,"ztf","ztf",20.734354,0.37816945,0.9999697,"d6_m7",19.9174,20.1141,914,0.9342857,"t17_f5_c3",673120145,0.2042,0.3107,"bulk_1.0.0"
"","916187913215015002",true,34.8247104,false,"",0.23919,0.06607252,0.06706819,"",2,false,1,19.9663,18.585733,58670.1879166998,"ZTF19abanrhr",916204423215015000,916187913215,192.4262632,"ztf","ztf",20.2271,0.200788,"","",19.9389,20.136,916,0.987143,"t17_f5_c3","",0.2884,0.4412,"bulk_1.0.0"
"","916204423215015008",true,34.8247059,false,"",0.19920447,0.064503185,0.06528665,"",1,true,1,19.904036,18.692848,58670.204421299975,"ZTF19abanrhr",0,916204423215,192.4261881,"ztf","ztf",20.325731,0.264776,0.9992775,"d6_m7",19.7845,19.4878,916,0.92142856,"t17_f5_c3",672120132,0.2104,0.2043,"bulk_1.0.0"
"","920200694515015002",true,34.8247302,false,"",0.20517708,0.06975053,0.07108789,"",1,true,1,19.821995,18.671162,58674.200694399886,"ZTF19abanrhr",0,920200694515,192.426295,"ztf","ztf",20.042927,0.25967726,0.9997131,"d6_m7",19.7656,19.9019,920,0.93142855,"t17_f5_c3",673120145,0.3212,0.4662,"bulk_1.0.0"
"","1773495103215015017",true,34.8248151,false,"",0.2084186,0.06127595,0.062173348,"",1,true,1,20.052694,18.739365,59527.49510420021,"ZTF19abanrhr","",1773495103215,192.4260475,"ztf","ztf",20.143024,0.57646006,0.9997624,"d6_m7",19.8234,19.7631,1773,0.8914286,"t17_f5_c3",672120132,0.2347,0.2831,"correction_1.0.6"
