aid,diffmaglim,fid,mjd,oid,sid,tid
"",20.9767,1,58635.196620400064,"ZTF19abanrhr","","ztf"
"",20.8375,1,58636.257361100055,"ZTF19abanrhr","","ztf"
"",20.9059,1,58638.203923599795,"ZTF19abanrhr","","ztf"
"",20.8108,1,58639.23870369978,"ZTF19abanrhr","","ztf"
"",20.5814,1,58642.20113429986,"ZTF19abanrhr","","ztf"
"",19.8031,1,58645.23609950021,"ZTF19abanrhr","","ztf"
"",19.6483,1,58648.1837847,"ZTF19abanrhr","","ztf"
"",19.2493,1,58651.171979200095,"ZTF19abanrhr","","ztf"
"",19.5618,1,58653.25715279998,"ZTF19abanrhr","","ztf"
"",19.9365,1,58654.23922450002,"ZTF19abanrhr","","ztf"
"",20.6119,1,58657.19594909996,"ZTF19abanrhr","","ztf"
"",20.5124,2,58628.30322920019,"ZTF19abanrhr","","ztf"
"",20.557,2,58632.178738399874,"ZTF19abanrhr","","ztf"
"",20.8468,2,58635.237141199876,"ZTF19abanrhr","","ztf"
"",20.6236,2,58636.22163189994,"ZTF19abanrhr","","ztf"
"",20.7367,2,58638.22541669989,"ZTF19abanrhr","","ztf"
"",20.8239,2,58639.18049769988,"ZTF19abanrhr","","ztf"
"",20.7907,2,58641.278784700204,"ZTF19abanrhr","","ztf"
"",20.4955,2,58642.234247699846,"ZTF19abanrhr","","ztf"
"",20.0751,2,58644.25984949991,"ZTF19abanrhr","","ztf"
"",19.931,2,58647.23825229984,"ZTF19abanrhr","","ztf"
"",19.6306,2,58648.192881899886,"ZTF19abanrhr","","ztf"
"",19.8095,2,58650.247800900135,"ZTF19abanrhr","","ztf"
"",19.4814,2,58651.248078700155,"ZTF19abanrhr","","ztf"
"",20.6009,2,58654.19623839995,"ZTF19abanrhr","","ztf"
"",20.2019,2,58657.268900500145,"ZTF19abanrhr","","ztf"
"",20.5197,2,58661.199826399796,"ZTF19abanrhr","","ztf"
"",20.4338,2,58667.22769680014,"ZTF19abanrhr","","ztf"
"",19.3876,2,58671.20256939996,"ZTF19abanrhr","","ztf"
"",19.1154,2,59512.52145829983,"ZTF19abanrhr","","ztf"
"",19.3555,2,59512.52400460001,"ZTF19abanrhr","","ztf"
"",19.5098,2,59512.526562499814,"ZTF19abanrhr","","ztf"
"",19.4029,2,59512.529108799994,"ZTF19abanrhr","","ztf"
"",19.4788,2,59512.5316666998,"ZTF19abanrhr","","ztf"
