aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,diffmaglim,distnr,drb,drbversion,magap,magapbig,nid,rb,rbversion,rfid,sigmagap,sigmagapbig,step_id_corr
"","1448506402315015010",false,46.2092801,false,"",0.160598,"","","",1,false,1,19.6135,"",59202.50640049996,"ZTF20aazpodt",1470526672315015000,1448506402315,235.9261392,"ztf","ztf",19.9258,1.8845,"","",20.4799,20.4901,1448,0.552857,"t17_f5_c3","",0.4635,0.5923,"bulk_1.0.0"
"","1465450972315015011",true,46.2092014,true,"",0.218426,0.02938219,0.03113182,"",1,false,1,19.4553,17.34005,59219.450972199906,"ZTF20aazpodt",1470526672315015000,1465450972315,235.9267443,"ztf","ztf",19.3398,0.552396,"","",19.5422,19.1946,1465,0.797143,"t17_f5_c3","",0.31,0.2876,"bulk_1.0.0"
"","1467495282315015012",true,46.2093367,true,"",0.22825,0.019127648,0.021987716,"",1,false,1,19.9376,17.397022,59221.49528940022,"ZTF20aazpodt",1470526672315015000,1467495282315,235.9264475,"ztf","ztf",20.1163,1.1273,"","",19.637,19.607,1467,0.812857,"t17_f5_c3","",0.2452,0.3028,"bulk_1.0.0"
"","1470526672315015015",true,46.2093037,true,"",0.17736435,0.012163517,0.016329609,"",1,true,1,19.99186,17.402134,59224.52667819988,"ZTF20aazpodt",0,1470526672315,235.9267372,"ztf","ztf",20.429356,0.41214424,0.9921615,"d6_m7",19.6093,19.4193,1470,0.8528572,"t17_f5_c3",760120123,0.159,0.1671,"bulk_1.0.0"
"","1472555392315015029",false,46.2093127,false,"",0.188455,"","","",1,false,1,20.0012,"",59226.55539349979,"ZTF20aazpodt","",1472555392315,235.9262454,"ztf","ztf",20.7046,1.62114,"","",19.8845,19.7803,1472,0.691429,"t17_f5_c3","",0.1831,0.207,"correction_0.0.1"
"","1477451122315015019",true,46.2093922,true,"",0.18814,0.013655377,0.017463597,"",1,false,1,19.9821,17.401232,59231.45112269977,"ZTF20aazpodt","",1477451122315,235.9264953,"ztf","ztf",20.4955,1.04432,"","",20.3842,20.0907,1477,0.798571,"t17_f5_c3","",0.3582,0.3443,"correction_0.0.1"
"","1495490672315015023",true,46.2092636,false,"",0.15346225,100,0.01746028,"",2,true,1,19.620735,17.260859,59249.49067129986,"ZTF20aazpodt","",1495490672315,235.9267874,"ztf","ztf",20.229166,0.3508979,0.99997985,"d6_m7",19.4579,19.6331,1495,0.96428573,"t17_f5_c3",760120223,0.1805,0.2678,"correction_0.0.1"
"","1497513712315015012",true,46.209259,false,"",0.170632,0.011298284,0.02087502,"",2,false,1,19.5314,17.250317,59251.51371529978,"ZTF20aazpodt","",1497513712315,235.9268896,"ztf","ztf",20.4524,0.193294,"","",19.1722,19.1403,1497,0.9,"t17_f5_c3","",0.1211,0.1476,"correction_0.0.1"
"","1499531592315015037",false,46.2092958,false,"",0.210779,"","","",1,false,1,19.9512,"",59253.53159719985,"ZTF20aazpodt","",1499531592315,235.9262821,"ztf","ztf",20.9815,1.53206,"","",19.8289,19.8132,1499,0.574286,"t17_f5_c3","",0.1508,0.183,"correction_0.0.1"
"","1504490612315015016",true,46.2092746,false,"",0.170866,0.008324097,0.01956828,"",2,false,1,19.6127,17.259941,59258.490613400005,"ZTF20aazpodt","",1504490612315,235.9266786,"ztf","ztf",19.8664,0.592038,"","",19.4668,19.5287,1504,0.955714,"t17_f5_c3","",0.241,0.3238,"correction_0.0.1"
