aid,diffmaglim,fid,mjd,oid,sid,tid
"",19.173,1,59215.56870369986,"ZTF20aazpodt","","ztf"
"",19.5324,1,59217.53473380022,"ZTF20aazpodt","","ztf"
"",19.9771,1,59229.55475689983,"ZTF20aazpodt","","ztf"
"",20.4532,1,59249.53333330015,"ZTF20aazpodt","","ztf"
"",20.4322,1,59251.4302662001,"ZTF20aazpodt","","ztf"
"",20.9815,1,59253.53159719985,"ZTF20aazpodt","","ztf"
"",20.5491,1,59258.50895830011,"ZTF20aazpodt","","ztf"
"",20.6162,1,59262.529872700106,"ZTF20aazpodt","","ztf"
"",20.4182,1,59265.42824070016,"ZTF20aazpodt","","ztf"
"",20.9218,1,59292.42820600001,"ZTF20aazpodt","","ztf"
"",19.1135,1,59300.383263899945,"ZTF20aazpodt","","ztf"
"",19.4778,1,59302.38634259999,"ZTF20aazpodt","","ztf"
"",19.1543,1,59304.433657399844,"ZTF20aazpodt","","ztf"
"",20.672,1,59307.39064810006,"ZTF20aazpodt","","ztf"
"",20.7867,1,59309.36662039999,"ZTF20aazpodt","","ztf"
"",20.5006,1,59315.3180670999,"ZTF20aazpodt","","ztf"
"",20.9677,1,59317.47230320005,"ZTF20aazpodt","","ztf"
"",20.7365,1,59322.32763889991,"ZTF20aazpodt","","ztf"
"",20.9506,1,59324.39228009991,"ZTF20aazpodt","","ztf"
"",19.9002,1,59328.34175929986,"ZTF20aazpodt","","ztf"
"",20.6044,1,59334.2496181,"ZTF20aazpodt","","ztf"
"",20.7232,1,59336.286597200204,"ZTF20aazpodt","","ztf"
"",20.9927,1,59339.36869210005,"ZTF20aazpodt","","ztf"
"",21.1478,1,59341.3275462999,"ZTF20aazpodt","","ztf"
"",20.8831,1,59343.28490740014,"ZTF20aazpodt","","ztf"
"",20.9713,1,59345.38839119999,"ZTF20aazpodt","","ztf"
"",21.2408,1,59349.36997690005,"ZTF20aazpodt","","ztf"
"",20.476,1,59354.39361110004,"ZTF20aazpodt","","ztf"
"",19.4416,1,59358.4282176001,"ZTF20aazpodt","","ztf"
"",19.8034,1,59361.322164400015,"ZTF20aazpodt","","ztf"
"",20.3633,1,59363.27000000002,"ZTF20aazpodt","","ztf"
"",21.0045,1,59365.302222200204,"ZTF20aazpodt","","ztf"
"",20.7289,1,59367.3044906999,"ZTF20aazpodt","","ztf"
"",20.9455,1,59369.36134260008,"ZTF20aazpodt","","ztf"
"",20.981,1,59371.371030100156,"ZTF20aazpodt","","ztf"
"",20.9102,1,59374.244328700006,"ZTF20aazpodt","","ztf"
"",20.8543,1,59376.348217600025,"ZTF20aazpodt","","ztf"
"",20.7885,1,59378.22230320005,"ZTF20aazpodt","","ztf"
"",20.0924,1,59380.2816666998,"ZTF20aazpodt","","ztf"
"",20.4038,1,59382.306330999825,"ZTF20aazpodt","","ztf"
"",19.8068,1,59386.29865740007,"ZTF20aazpodt","","ztf"
"",19.8383,1,59390.22311339993,"ZTF20aazpodt","","ztf"
"",20.2658,1,59392.244664399885,"ZTF20aazpodt","","ztf"
"",20.7772,1,59394.22037040023,"ZTF20aazpodt","","ztf"
"",20.5065,1,59396.28696760023,"ZTF20aazpodt","","ztf"
"",20.7672,1,59399.26092590019,"ZTF20aazpodt","","ztf"
"",20.5847,1,59401.255358799826,"ZTF20aazpodt","","ztf"
"",20.8053,1,59403.261157399975,"ZTF20aazpodt","","ztf"
"",20.7593,1,59405.21965279989,"ZTF20aazpodt","","ztf"
"",20.6496,1,59407.24337959988,"ZTF20aazpodt","","ztf"
"",20.6696,1,59409.24981479999,"ZTF20aazpodt","","ztf"
"",20.108,1,59411.19756940007,"ZTF20aazpodt","","ztf"
"",20.2532,1,59727.351736099925,"ZTF20aazpodt","","ztf"
"",21.0356,1,59730.364710600115,"ZTF20aazpodt","","ztf"
"",20.9589,1,59732.26850689994,"ZTF20aazpodt","","ztf"
"",20.7898,1,59734.30368060013,"ZTF20aazpodt","","ztf"
"",20.8873,1,59736.30440969998,"ZTF20aazpodt","","ztf"
"",20.7406,1,59738.38854169985,"ZTF20aazpodt","","ztf"
"",20.1478,1,59740.3830093001,"ZTF20aazpodt","","ztf"
"",19.6415,1,59742.33240740001,"ZTF20aazpodt","","ztf"
"",20.0853,1,59747.32368060015,"ZTF20aazpodt","","ztf"
"",20.3913,1,59749.303969900124,"ZTF20aazpodt","","ztf"
"",20.637,1,59751.34181710007,"ZTF20aazpodt","","ztf"
"",20.8152,1,59753.28439809987,"ZTF20aazpodt","","ztf"
"",20.8869,1,59756.286631899886,"ZTF20aazpodt","","ztf"
"",20.4587,1,59762.32918980019,"ZTF20aazpodt","","ztf"
"",20.5924,1,59764.329479199834,"ZTF20aazpodt","","ztf"
"",20.7302,1,59766.29962959979,"ZTF20aazpodt","","ztf"
"",20.169,1,59769.266365699936,"ZTF20aazpodt","","ztf"
"",20.0588,1,59769.32179399999,"ZTF20aazpodt","","ztf"
"",19.9057,1,59771.2884837999,"ZTF20aazpodt","","ztf"
"",19.8854,1,59771.34231479978,"ZTF20aazpodt","","ztf"
"",20.0493,1,59780.25578700006,"ZTF20aazpodt","","ztf"
"",20.4762,1,59782.288090299815,"ZTF20aazpodt","","ztf"
"",20.7086,1,59784.218055599835,"ZTF20aazpodt","","ztf"
"",19.4237,1,59786.19618060021,"ZTF20aazpodt","","ztf"
"",20.7191,1,59789.20383099979,"ZTF20aazpodt","","ztf"
"",20.4706,1,59791.240590299945,"ZTF20aazpodt","","ztf"
"",20.0493,1,59794.30442130007,"ZTF20aazpodt","","ztf"
"",20.3502,1,59797.24359950004,"ZTF20aazpodt","","ztf"
"",18.7034,1,59802.28564810008,"ZTF20aazpodt","","ztf"
"",18.8775,1,59805.22802079981,"ZTF20aazpodt","","ztf"
"",20.7046,1,59807.197754600085,"ZTF20aazpodt","","ztf"
"",20.4358,1,59809.24193290016,"ZTF20aazpodt","","ztf"
"",20.4081,1,59812.23980320012,"ZTF20aazpodt","","ztf"
"",20.1008,1,59823.247233800124,"ZTF20aazpodt","","ztf"
"",19.8564,1,59825.21839120006,"ZTF20aazpodt","","ztf"
"",19.5613,1,59828.21381939994,"ZTF20aazpodt","","ztf"
"",20.0485,2,59202.54837960005,"ZTF20aazpodt","","ztf"
"",20.3097,2,59204.51461810013,"ZTF20aazpodt","","ztf"
"",19.8672,2,59217.497557899915,"ZTF20aazpodt","","ztf"
"",19.9662,2,59219.49417820014,"ZTF20aazpodt","","ztf"
"",17.0894,2,59221.54724540003,"ZTF20aazpodt","","ztf"
"",20.2954,2,59224.510254600085,"ZTF20aazpodt","","ztf"
"",20.2473,2,59226.506493099965,"ZTF20aazpodt","","ztf"
"",19.8452,2,59229.5380092999,"ZTF20aazpodt","","ztf"
"",20.3807,2,59231.528796299826,"ZTF20aazpodt","","ztf"
"",20.5457,2,59233.49763889983,"ZTF20aazpodt","","ztf"
"",20.7818,2,59253.51626159996,"ZTF20aazpodt","","ztf"
"",20.864,2,59255.43318289984,"ZTF20aazpodt","","ztf"
"",19.7824,2,59269.36954860017,"ZTF20aazpodt","","ztf"
"",19.1834,2,59271.47600689996,"ZTF20aazpodt","","ztf"
"",19.8958,2,59275.40401619999,"ZTF20aazpodt","","ztf"
"",20.3122,2,59278.46875,"ZTF20aazpodt","","ztf"
"",20.7014,2,59282.51252309978,"ZTF20aazpodt","","ztf"
"",20.8109,2,59292.472650500014,"ZTF20aazpodt","","ztf"
"",19.8383,2,59302.40548609989,"ZTF20aazpodt","","ztf"
"",19.399,2,59304.45528940018,"ZTF20aazpodt","","ztf"
"",20.7404,2,59307.36762729986,"ZTF20aazpodt","","ztf"
"",20.9091,2,59311.47744210018,"ZTF20aazpodt","","ztf"
"",19.8572,2,59313.425150500145,"ZTF20aazpodt","","ztf"
"",18.9353,2,59315.36642359989,"ZTF20aazpodt","","ztf"
"",20.7085,2,59320.473564799875,"ZTF20aazpodt","","ztf"
"",20.4863,2,59324.2861227002,"ZTF20aazpodt","","ztf"
"",20.9036,2,59336.34635420004,"ZTF20aazpodt","","ztf"
"",20.9537,2,59339.328576399945,"ZTF20aazpodt","","ztf"
"",20.8997,2,59341.288379599806,"ZTF20aazpodt","","ztf"
"",20.8357,2,59343.32364579989,"ZTF20aazpodt","","ztf"
"",21.0178,2,59349.3269675998,"ZTF20aazpodt","","ztf"
"",20.8314,2,59352.30490740016,"ZTF20aazpodt","","ztf"
"",19.9817,2,59361.368773099966,"ZTF20aazpodt","","ztf"
"",20.3762,2,59363.3625810002,"ZTF20aazpodt","","ztf"
"",20.539,2,59367.3729514,"ZTF20aazpodt","","ztf"
"",20.9133,2,59369.32379630022,"ZTF20aazpodt","","ztf"
"",20.2134,2,59380.34858800005,"ZTF20aazpodt","","ztf"
"",20.4327,2,59382.3235185002,"ZTF20aazpodt","","ztf"
"",18.9109,2,59384.19962960016,"ZTF20aazpodt","","ztf"
"",20.2842,2,59394.28162040003,"ZTF20aazpodt","","ztf"
"",20.5032,2,59396.3276157002,"ZTF20aazpodt","","ztf"
"",20.7499,2,59399.22167820018,"ZTF20aazpodt","","ztf"
"",20.7775,2,59403.21276619984,"ZTF20aazpodt","","ztf"
"",20.6709,2,59405.204919000156,"ZTF20aazpodt","","ztf"
"",20.5745,2,59407.20197919989,"ZTF20aazpodt","","ztf"
"",20.6385,2,59409.19886570005,"ZTF20aazpodt","","ztf"
"",20.2484,2,59411.22344909981,"ZTF20aazpodt","","ztf"
"",18.6014,2,59727.26826390019,"ZTF20aazpodt","","ztf"
"",20.8841,2,59730.28336809995,"ZTF20aazpodt","","ztf"
"",20.817,2,59732.29475690005,"ZTF20aazpodt","","ztf"
"",20.1624,2,59734.24966439977,"ZTF20aazpodt","","ztf"
"",20.9151,2,59736.341574099846,"ZTF20aazpodt","","ztf"
"",20.5215,2,59738.28129629977,"ZTF20aazpodt","","ztf"
"",20.2186,2,59740.34721060004,"ZTF20aazpodt","","ztf"
"",19.9162,2,59742.28937500017,"ZTF20aazpodt","","ztf"
"",20.7569,2,59747.24184030015,"ZTF20aazpodt","","ztf"
"",20.2039,2,59749.347951400094,"ZTF20aazpodt","","ztf"
"",20.6877,2,59751.28354169987,"ZTF20aazpodt","","ztf"
"",19.9472,2,59753.324155100156,"ZTF20aazpodt","","ztf"
"",20.8535,2,59758.27597220009,"ZTF20aazpodt","","ztf"
"",20.5882,2,59760.27887730021,"ZTF20aazpodt","","ztf"
"",20.7973,2,59762.2838773001,"ZTF20aazpodt","","ztf"
"",20.7928,2,59764.25914350012,"ZTF20aazpodt","","ztf"
"",20.6665,2,59766.25841439981,"ZTF20aazpodt","","ztf"
"",19.8555,2,59773.24936340004,"ZTF20aazpodt","","ztf"
"",19.657,2,59773.321330999956,"ZTF20aazpodt","","ztf"
"",20.063,2,59775.28935190011,"ZTF20aazpodt","","ztf"
"",19.7997,2,59775.32877309993,"ZTF20aazpodt","","ztf"
