aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,diffmaglim,distnr,drb,drbversion,magap,magapbig,nid,rb,rbversion,rfid,sigmagap,sigmagapbig,step_id_corr
"","1477550611615015003",true,54.3193446,false,"",0.235437,0.11134744,0.11291256,"",1,false,1,20.3537,19.55587,59231.55061340006,"ZTF21aaihgbk","",1477550611615,274.3331467,"ztf","ztf",20.1659,0.398877,"","",20.5254,20.5043,1477,0.811429,"t17_f5_c3","",0.4305,0.5413,"correction_0.0.1"
"","1498535911615015002",true,54.3194731,false,"",0.21380924,0.0946123,0.096647024,"",1,true,1,20.473997,19.611902,59252.53591440013,"ZTF21aaihgbk","",1498535911615,274.3329898,"ztf","ztf",20.761845,0.25567648,0.99874634,"d6_m7",20.5232,20.2212,1498,0.87,"t17_f5_c3",797120116,0.318,0.3079,"correction_0.0.1"
"","1504529271615015006",true,54.3195314,false,"",0.288664,0.1470043,0.14804663,"",1,false,1,20.2091,19.484116,59258.52927079983,"ZTF21aaihgbk","",1504529271615,274.3330179,"ztf","ztf",20.1145,0.332992,"","",20.0082,19.7878,1504,0.837143,"t17_f5_c3","",0.2934,0.3068,"correction_0.0.1"
"","1509507921615015008",true,54.319365,false,"",0.253103,0.14110577,0.1419881,"",1,false,1,19.9988,19.371187,59263.507928200066,"ZTF21aaihgbk","",1509507921615,274.3330183,"ztf","ztf",19.8541,0.361273,"","",20.2308,20.1342,1509,0.661429,"t17_f5_c3","",0.2976,0.3486,"correction_0.0.1"
"","1511508361615015006",true,54.3194198,false,"",0.21108958,0.10132867,0.10299204,"",1,true,1,20.31753,19.538372,59265.50836810004,"ZTF21aaihgbk","",1511508361615,274.3332301,"ztf","ztf",20.298296,0.28941903,0.99903333,"d6_m7",20.366,20.1624,1511,0.7814286,"t17_f5_c3",797120116,0.3277,0.3481,"correction_0.0.1"
"","1511529011615015003",true,54.3193994,false,"",0.256856,0.06120819,0.07075872,"",2,false,1,20.3679,18.968126,59265.52901619999,"ZTF21aaihgbk","",1511529011615,274.3333116,"ztf","ztf",20.2735,0.484916,"","",20.2184,20.0971,1511,0.888571,"t17_f5_c3","",0.36,0.4118,"correction_0.0.1"
"","1514446292915015007",true,54.319404,false,"",0.274374,0.059416316,0.07083978,"",2,false,1,20.4449,18.974735,59268.44629629981,"ZTF21aaihgbk","",1514446292915,274.333123,"ztf","ztf",20.0771,0.22776,"","",19.8863,20.7672,1514,0.641429,"t17_f5_c3","",0.3624,1.0447,"correction_0.0.1"
"","1514535322915015003",true,54.3194785,false,"",0.16793938,0.08381933,0.0861641,"",1,true,1,20.180239,19.455673,59268.53532409994,"ZTF21aaihgbk","",1514535322915,274.3332569,"ztf","ztf",20.808102,0.31101692,0.99995184,"d6_m7",19.8773,19.7977,1514,0.76714283,"t17_f5_c3",798120129,0.1697,0.2012,"correction_0.0.1"
"","1522516341615015004",true,54.3195851,false,"",0.225256,0.11496641,0.11627818,"",1,false,1,20.1946,19.476654,59276.516342599876,"ZTF21aaihgbk","",1522516341615,274.3331559,"ztf","ztf",19.9758,0.478497,"","",19.9796,19.8811,1522,0.822857,"t17_f5_c3","",0.3664,0.4295,"correction_0.0.1"
"","1526408652915015003",true,54.3194516,false,"",0.261562,0.13914025,0.14042982,"",1,false,1,20.0765,19.40121,59280.40865739994,"ZTF21aaihgbk","",1526408652915,274.3333327,"ztf","ztf",19.7877,0.460883,"","",20.2229,20.1195,1526,0.641429,"t17_f5_c3","",0.4039,0.4712,"correction_0.0.1"
"","1526410121615015002",true,54.3195377,false,"",0.29797,0.15701193,0.157921,"",1,false,1,20.1346,19.445269,59280.41012729984,"ZTF21aaihgbk","",1526410121615,274.3329778,"ztf","ztf",19.7621,0.403065,"","",20.1215,20.0472,1526,0.645714,"t17_f5_c3","",0.4082,0.4892,"correction_0.0.1"
"","1537386302915015005",true,54.3195008,false,"",0.308269,0.08030374,0.0884511,"",2,false,1,20.2874,18.931833,59291.38630789984,"ZTF21aaihgbk","",1537386302915,274.3331375,"ztf","ztf",20.1324,0.123951,"","",20.3084,19.7157,1537,0.861429,"t17_f5_c3","",0.4415,0.3282,"correction_0.0.1"
"","1537388661615015001",true,54.3194912,false,"",0.275213,0.06927036,0.07768653,"",2,false,1,20.3312,18.957891,59291.38866900001,"ZTF21aaihgbk","",1537388661615,274.3331204,"ztf","ztf",20.066,0.126273,"","",20.5119,20.2326,1537,0.931429,"t17_f5_c3","",0.5338,0.5289,"correction_0.0.1"
"","1537491211615015004",true,54.3194184,false,"",0.12783675,0.066774376,0.068812095,"",1,true,1,20.098421,19.425943,59291.491215299815,"ZTF21aaihgbk","",1537491211615,274.3328639,"ztf","ztf",20.793056,0.5127594,0.99996054,"d6_m7",20.0933,19.8636,1537,0.9071429,"t17_f5_c3",797120116,0.1995,0.2059,"correction_0.0.1"
"","1537511782915015013",true,54.3194181,false,"",0.16275482,0.090056315,0.09181243,"",1,true,1,19.95701,19.33543,59291.511782399844,"ZTF21aaihgbk","",1537511782915,274.3331652,"ztf","ztf",20.621485,0.18872534,0.9999138,"d6_m7",19.9294,19.6406,1537,0.92,"t17_f5_c3",798120129,0.1922,0.1882,"correction_0.0.1"
"","1540393581615015010",true,54.319481,false,"",0.234252,0.12405513,0.12518242,"",1,false,1,20.1154,19.435051,59294.39358799998,"ZTF21aaihgbk","",1540393581615,274.3330817,"ztf","ztf",20.3193,0.110064,"","",20.2986,20.2664,1540,0.925714,"t17_f5_c3","",0.3515,0.4368,"correction_0.0.1"
"","1541492122915015004",true,54.3193991,false,"",0.344684,0.07228555,0.08240644,"",2,false,1,20.556,19.00235,59295.49212960014,"ZTF21aaihgbk","",1541492122915,274.3330726,"ztf","ztf",20.18,0.269695,"","",21.1044,21.1606,1541,0.83,"t17_f5_c3","",0.8653,1.1676,"correction_0.0.1"
"","1546492761615015004",true,54.3195628,false,"",0.285039,0.16294055,0.16366011,"",1,false,1,19.9405,19.338097,59300.4927662001,"ZTF21aaihgbk","",1546492761615,274.3333519,"ztf","ztf",19.511,0.645567,"","",19.8576,20.0186,1546,0.695714,"t17_f5_c3","",0.4529,0.6742,"correction_0.0.1"
"","1552433802915015011",true,54.3193897,false,"",0.219826,0.12477277,0.12599412,"",1,false,1,19.917,19.312677,59306.433807900175,"ZTF21aaihgbk","",1552433802915,274.3331036,"ztf","ztf",20.1954,0.251152,"","",19.966,20.1088,1552,0.78,"t17_f5_c3","",0.3368,0.4922,"correction_0.0.1"
"","1552503572915015002",true,54.3193894,false,"",0.249129,0.057919994,0.06904762,"",2,false,1,20.3398,18.946611,59306.503576400224,"ZTF21aaihgbk","",1552503572915,274.3331483,"ztf","ztf",20.3878,0.276839,"","",19.967,19.5436,1552,0.645714,"t17_f5_c3","",0.3068,0.2662,"correction_0.0.1"
"","1553471231615015004",true,54.3194256,false,"",0.1699806,0.040054835,0.05246016,"",2,true,1,20.19371,18.917286,59307.471238399856,"ZTF21aaihgbk","",1553471231615,274.3331586,"ztf","ztf",20.509111,0.15699002,0.9995315,"d6_m7",20.0868,20.2532,1553,0.8314286,"t17_f5_c3",797120216,0.2905,0.4325,"correction_0.0.1"
"","1555362771615015009",true,54.3194428,false,"",0.17186792,0.098991215,0.10012534,"",1,true,1,19.903082,19.316454,59309.36277779983,"ZTF21aaihgbk","",1555362771615,274.3329321,"ztf","ztf",20.409464,0.36375105,0.9999501,"d6_m7",20.0229,19.878,1555,0.9,"t17_f5_c3",797120116,0.248,0.2776,"correction_0.0.1"
"","1555449782915015006",true,54.3194065,false,"",0.15919502,0.089036494,0.09076402,"",1,true,1,19.930347,19.320309,59309.449780100025,"ZTF21aaihgbk","",1555449782915,274.333209,"ztf","ztf",20.524563,0.2844166,0.999997,"d6_m7",19.8717,19.7539,1555,0.9242857,"t17_f5_c3",798120129,0.2002,0.2295,"correction_0.0.1"
"","1555488171615015005",true,54.3193691,false,"",0.18597978,0.04811417,0.058654346,"",2,true,1,20.159538,18.906624,59309.48817129992,"ZTF21aaihgbk","",1555488171615,274.3329655,"ztf","ztf",20.379597,0.41513255,0.9998745,"d6_m7",19.9685,19.8341,1555,0.88,"t17_f5_c3",797120216,0.254,0.2871,"correction_0.0.1"
"","1557449081615015012",true,54.3194842,false,"",0.15935944,0.07963021,0.08154729,"",1,true,1,20.214094,19.486673,59311.44908560021,"ZTF21aaihgbk","",1557449081615,274.3329743,"ztf","ztf",20.902122,0.28742763,0.9999063,"d6_m7",20.3059,20.1665,1557,0.8914286,"t17_f5_c3",797120116,0.2277,0.2551,"correction_0.0.1"
"","1557450022915015013",true,54.31943,false,"",0.20174815,0.09863148,0.10074471,"",1,true,1,20.239784,19.485815,59311.45002309978,"ZTF21aaihgbk","",1557450022915,274.3333225,"ztf","ztf",20.845966,0.451803,0.9999486,"d6_m7",20.1905,20.147,1557,0.8471429,"t17_f5_c3",798120129,0.218,0.2673,"correction_0.0.1"
"","1559448261615015004",true,54.3193235,false,"",0.254404,0.06497301,0.07370734,"",2,false,1,20.2916,18.946566,59313.44826389989,"ZTF21aaihgbk","",1559448261615,274.3330775,"ztf","ztf",20.2668,0.474817,"","",19.8139,19.8221,1559,0.701429,"t17_f5_c3","",0.2628,0.3388,"correction_0.0.1"
"","1559487632915015007",true,54.3193956,false,"",0.203007,0.0967343,0.09898915,"",1,false,1,20.2908,19.510992,59313.48763890006,"ZTF21aaihgbk","",1559487632915,274.3333579,"ztf","ztf",20.562,0.562969,"","",19.6983,19.75,1559,0.422857,"t17_f5_c3","",0.1676,0.224,"correction_0.0.1"
"","1561470961615015003",true,54.3194342,false,"",0.24698,0.1251615,0.12638973,"",1,false,1,20.214,19.486626,59315.470960599836,"ZTF21aaihgbk","",1561470961615,274.3329319,"ztf","ztf",20.2287,0.368648,"","",20.2948,20.1684,1561,0.74,"t17_f5_c3","",0.4281,0.4876,"correction_0.0.1"
"","1561472482915015005",true,54.3194508,false,"",0.17135046,0.09168082,0.09355161,"",1,true,1,20.036804,19.379719,59315.47248840006,"ZTF21aaihgbk","",1561472482915,274.3332686,"ztf","ztf",20.261925,0.32443586,0.9999994,"d6_m7",19.9538,19.9972,1561,0.87857145,"t17_f5_c3",798120129,0.2768,0.3684,"correction_0.0.1"
"","1563429462915015005",true,54.3193637,false,"",0.230817,0.042005483,0.057370175,"",2,false,1,20.5002,18.988747,59317.42946759984,"ZTF21aaihgbk","",1563429462915,274.3333738,"ztf","ztf",20.7185,0.626374,"","",20.3665,20.1291,1563,0.867143,"t17_f5_c3","",0.2956,0.3032,"correction_0.0.1"
