aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,adpctdif1,adpctdif2,chinr,clrcoeff,clrcounc,decnr,diffmaglim,distnr,exptime,field,magnr,magzpsci,magzpscirms,magzpsciunc,procstatus,programid,ranr,rcid,rfid,scibckgnd,sciinpseeing,scisigpix,sharpnr,sigmagnr
"","ZTF21aaihgbk2750372442915",true,54.3194731,false,"",1.0412812232971191,100,0.04005549721328116,"",2,false,1,22.79367446899414,19.256409693796268,60504.3724421002,"ZTF21aaihgbk",2772323532915015000,2750372442915,274.3332574,"","ztf",0.05993799865245819,0.08172500133514404,2.546999931335449,0.09970960021018982,0.000003875879883707967,54.31946563720703,20.509300231933594,0.27427273988723755,30,798,19.298999786376953,26.172399520874023,0.02243730053305626,0.0000019454998891887954,"0",1,274.3331298828125,29,798120229,180.58599853515625,1.5134999752044678,6.539820194244385,0.2240000069141388,0.052000001072883606
"","ZTF21aaihgbk2753308542915",true,54.3194731,false,"",4.899140357971191,0.012985885476105316,0.05415481004543852,"",2,false,-1,24.2021427154541,19.31093560263828,60507.30854169978,"ZTF21aaihgbk",2772323532915015000,2753308542915,274.3332574,"","ztf",0.05939599871635437,0.08051499724388123,2.546999931335449,0.10561300069093704,0.000003979379926022375,54.31946563720703,20.312299728393555,0.27427273988723755,30,798,19.298999786376953,26.271400451660156,0.022666199132800102,0.0000019920000795536907,"0",1,274.3331298828125,29,798120229,198.072998046875,1.8889000415802002,7.606259822845459,0.2240000069141388,0.052000001072883606
"","ZTF21aaihgbk2753413792915",true,54.3194731,false,"",1.9230895042419434,0.07847071067005114,0.08768609945459226,"",1,false,1,23.53900146484375,20.18632960025007,60507.41379630007,"ZTF21aaihgbk",2772323532915015000,2753413792915,274.3332574,"","ztf",0.05761199817061424,0.07496199756860733,1.5720000267028809,-0.09499560296535492,0.000005739269909099676,54.319461822509766,20.62619972229004,0.310576856136322,30,798,20.23699951171875,26.246000289916992,0.02723659947514534,0.0000028716999622702133,"0",1,274.3330993652344,29,798120129,88.39219665527344,2.0327999591827393,5.369309902191162,0.07500000298023224,0.04100000113248825
"","ZTF21aaihgbk2757414641615",true,54.3194862,false,"",2.443042278289795,0.3076237455835281,0.3092265371906799,"",1,false,1,22.362199783325195,20.11806421920312,60511.4146412001,"ZTF21aaihgbk",2775215721615015000,2757414641615,274.333039,"","ztf",0.06037700176239014,0.08156699687242508,1.1699999570846558,-0.037852201610803604,0.000023946300643729046,54.319454193115234,19.23819923400879,0.17746861279010773,30,797,20.264999389648438,26.09160041809082,0.038485899567604065,0.000008723000064492226,"0",1,274.3330993652344,16,797120116,86.74479675292969,2.3424999713897705,15.151800155639648,0.04399999976158142,0.035999998450279236
"","ZTF21aaihgbk2693403743015",true,54.3194624,false,"",100,100,100,"",1,false,-1,100,100,60447.403750000056,"ZTF21aaihgbk",2693406651615015000,2693403743015,274.3330014,"","ztf",0.04979399964213371,0.07287800312042236,-99999,-0.09410549700260162,0.000004579670076054754,-99999,20.905500411987305,-99999,30,798,-99999,26.28580093383789,0.023716099560260773,0.0000023161999251897214,"61",1,-99999,30,798120130,95.65480041503906,1.8590999841690063,4.421030044555664,-99999,-99999
"","ZTF21aaihgbk2693381522915",true,54.3193718,false,"",0.1496679037809372,0.0171229107078193,0.04134682063076932,"",2,false,1,20.344676971435547,18.94796058139088,60447.38152780011,"ZTF21aaihgbk",2695432841615015000,2693381522915,274.3329639,"","ztf",0.05917299911379814,0.07727299630641937,2.546999931335449,0.10289900004863739,0.000004475520199775929,54.31946563720703,20.379100799560547,0.4831709563732147,30,798,19.298999786376953,26.27829933166504,0.024098599329590797,0.000002250500074296724,"0",1,274.3331298828125,29,798120229,201.21800231933594,1.7928999662399292,7.523600101470947,0.2240000069141388,0.052000001072883606
"","ZTF21aaihgbk2691343813015",true,54.3193718,false,"",100,100,100,"",2,false,-1,100,100,60445.34381939983,"ZTF21aaihgbk",2695432841615015000,2691343813015,274.3329639,"","ztf",0.05418600142002106,0.07922600209712982,-99999,0.09784690290689468,0.0000033836799957498442,-99999,20.592300415039062,-99999,30,798,-99999,26.227399826049805,0.0204927995800972,0.0000017155999785245513,"61",1,-99999,30,798120230,190.9239959716797,1.590000033378601,6.236579895019531,-99999,-99999
"","ZTF21aaihgbk2682463662815",true,54.3194624,false,"",100,100,100,"",2,false,-1,100,100,60436.46366900019,"ZTF21aaihgbk",2693406651615015000,2682463662815,274.3330014,"","ztf",0.060176998376846313,0.0791660025715828,-99999,0.10017599910497665,0.0000030546800644515315,-99999,20.27680015563965,-99999,30,798,-99999,26.334800720214844,0.01932789944112301,0.000001455599999644619,"61",1,-99999,28,798120228,235.06100463867188,2.658799886703491,6.291639804840088,-99999,-99999
"","ZTF21aaihgbk2664364751615",true,54.3194624,false,"",0.2823224365711212,0.04694609847778413,0.06069252870234012,"",2,false,1,20.724233627319336,19.05520822444117,60418.364756899886,"ZTF21aaihgbk",2693406651615015000,2664364751615,274.3330014,"","ztf",0.054402001202106476,0.07375399768352509,2.4590001106262207,0.10552000254392624,0.000004544960120256292,54.3194580078125,20.009000778198242,0.2063709944486618,30,797,19.31800079345703,26.23259925842285,0.02402140013873577,0.0000022592000732402084,"0",1,274.3330993652344,16,797120216,213.9010009765625,2.114500045776367,9.140569686889648,0.19900000095367432,0.04899999871850014
"","ZTF21aaihgbk2695389073015",true,54.3193718,false,"",100,100,100,"",2,false,-1,100,100,60449.38907410018,"ZTF21aaihgbk",2695432841615015000,2695389073015,274.3329639,"","ztf",0.053376998752355576,0.07865499705076218,-99999,0.11003600060939789,0.000003513089950502035,-99999,20.23080062866211,-99999,30,798,-99999,26.252700805664062,0.020892299711704254,0.0000017807000176617294,"61",1,-99999,30,798120230,194.5760040283203,2.11299991607666,7.546679973602295,-99999,-99999
