aid,diffmaglim,fid,mjd,oid,sid,tid
"",19.6857,1,59248.490833300166,"ZTF21aaihgbk","","ztf"
"",19.8481,1,59248.51590280002,"ZTF21aaihgbk","","ztf"
"",19.6964,1,59250.46960650012,"ZTF21aaihgbk","","ztf"
"",19.7444,1,59250.49538190011,"ZTF21aaihgbk","","ztf"
"",20.7064,1,59252.5377894002,"ZTF21aaihgbk","","ztf"
"",17.7947,1,59254.53646990005,"ZTF21aaihgbk","","ztf"
"",17.3618,1,59254.53795140004,"ZTF21aaihgbk","","ztf"
"",20.1196,1,59258.53020829987,"ZTF21aaihgbk","","ztf"
"",20.0004,1,59263.536886599846,"ZTF21aaihgbk","","ztf"
"",19.759,1,59269.45043980004,"ZTF21aaihgbk","","ztf"
"",19.0252,1,59270.45111110015,"ZTF21aaihgbk","","ztf"
"",18.457,1,59271.5321411998,"ZTF21aaihgbk","","ztf"
"",19.1973,1,59272.51104169991,"ZTF21aaihgbk","","ztf"
"",18.9576,1,59274.456689800136,"ZTF21aaihgbk","","ztf"
"",19.0755,1,59297.34723380022,"ZTF21aaihgbk","","ztf"
"",19.563,1,59297.44912040001,"ZTF21aaihgbk","","ztf"
"",19.1752,1,59301.46731479978,"ZTF21aaihgbk","","ztf"
"",19.2701,1,59302.37010420021,"ZTF21aaihgbk","","ztf"
"",19.2181,1,59303.382129599806,"ZTF21aaihgbk","","ztf"
"",18.912,1,59304.4947453998,"ZTF21aaihgbk","","ztf"
"",20.6084,1,59313.48670140002,"ZTF21aaihgbk","","ztf"
"",19.4477,1,59328.34626160003,"ZTF21aaihgbk","","ztf"
"",19.6557,1,59329.393472199794,"ZTF21aaihgbk","","ztf"
"",19.8742,1,59334.44692130014,"ZTF21aaihgbk","","ztf"
"",20.508,1,59347.432164399885,"ZTF21aaihgbk","","ztf"
"",20.705,1,59352.45521989977,"ZTF21aaihgbk","","ztf"
"",19.5124,1,59359.29780089995,"ZTF21aaihgbk","","ztf"
"",19.6755,1,59361.454421299975,"ZTF21aaihgbk","","ztf"
"",20.0893,1,59363.307708300184,"ZTF21aaihgbk","","ztf"
"",20.9221,1,59377.341932899784,"ZTF21aaihgbk","","ztf"
"",19.5129,1,59390.24040509993,"ZTF21aaihgbk","","ztf"
"",20.0718,1,59392.264884300064,"ZTF21aaihgbk","","ztf"
"",20.0685,1,59394.34672449995,"ZTF21aaihgbk","","ztf"
"",16.8977,1,59417.346169000026,"ZTF21aaihgbk","","ztf"
"",18.4029,1,59417.3753819,"ZTF21aaihgbk","","ztf"
"",17.8859,1,59419.35388890002,"ZTF21aaihgbk","","ztf"
"",17.6897,1,59419.3587962999,"ZTF21aaihgbk","","ztf"
"",19.1681,1,59423.34079860011,"ZTF21aaihgbk","","ztf"
