aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,diffmaglim,distnr,drb,drbversion,magap,magapbig,nid,rb,rbversion,rfid,sigmagap,sigmagapbig,step_id_corr
"","923287106115015005",true,36.948567,false,"",0.280471,0.054346602,0.06333135,"",2,false,1,20.0088,18.393127,58677.28710650001,"ZTF19abiajjl",939272246115015000,923287106115,278.5518264,"ztf","ztf",20.0469,0.549406,"","",19.5863,19.3806,923,0.644286,"t17_f5_c3","",0.2727,0.2887,"bulk_1.0.0"
"","930176114815015017",true,36.9486899,false,"",0.24784,0.03665787,0.0437503,"",2,false,1,20.3551,18.472124,58684.176111099776,"ZTF19abiajjl",939272246115015000,930176114815,278.5517742,"ztf","ztf",20.431,0.160968,"","",20.055,20.0295,930,0.695714,"t17_f5_c3","",0.2935,0.3646,"bulk_1.0.0"
"","934299936115015004",true,36.9486895,false,"",0.313853,0.062078446,0.06449232,"",1,false,1,20.6043,18.886253,58688.299930599984,"ZTF19abiajjl",939272246115015000,934299936115,278.5518175,"ztf","ztf",20.7604,0.185101,"","",20.656,20.7384,934,0.851429,"t17_f5_c3","",0.3628,0.4968,"bulk_1.0.0"
"","936278216115015002",true,36.9487748,false,"",0.33692,0.06995414,0.072060294,"",1,false,1,20.5493,18.874722,58690.27821760019,"ZTF19abiajjl",939272246115015000,936278216115,278.5517416,"ztf","ztf",20.6791,0.285696,"","",20.5115,20.3378,936,0.771429,"t17_f5_c3","",0.3063,0.3316,"bulk_1.0.0"
"","937199946115015005",true,36.9486729,false,"",0.353234,0.041848633,0.054862633,"",2,false,1,20.5097,18.487736,58691.19994209986,"ZTF19abiajjl",939272246115015000,937199946115,278.5517733,"ztf","ztf",20.5246,0.147474,"","",20.5184,20.5188,937,0.715714,"t17_f5_c3","",0.4043,0.5134,"bulk_1.0.0"
"","939224746115015009",true,36.9486139,false,"",0.330807,0.049359545,0.06014359,"",2,false,1,20.3041,18.453136,58693.224745399784,"ZTF19abiajjl",939272246115015000,939224746115,278.5517864,"ztf","ztf",20.5266,0.355597,"","",20.3016,20.065,939,0.554286,"t17_f5_c3","",0.3418,0.3495,"bulk_1.0.0"
"","939272246115015005",true,36.9486294,false,"",0.21606264,0.057477925,0.059643768,"",1,true,1,20.18281,18.785273,58693.27224540012,"ZTF19abiajjl",0,939272246115,278.551928,"ztf","ztf",20.691223,0.5564302,0.99953175,"d6_m7",20.1997,20.0389,939,0.87142855,"t17_f5_c3",684120161,0.2303,0.252,"bulk_1.0.0"
"","939276490615015030",true,36.9486322,false,"",0.259229,0.052575644,0.05343177,"",1,false,1,20.6041,18.889389,58693.276493099984,"ZTF19abiajjl",943330770615015000,939276490615,278.5519436,"ztf","ztf",20.7061,0.588915,"","",20.6016,20.8139,939,0.874286,"t17_f5_c3","",0.3285,0.5077,"bulk_1.0.0"
"","942311480615015028",true,36.9487224,false,"",0.267726,0.05015041,0.051081855,"",1,false,1,20.7087,18.910141,58696.311481500044,"ZTF19abiajjl",943330770615015000,942311480615,278.5518179,"ztf","ztf",20.8665,0.237735,"","",20.7377,21.122,942,0.852857,"t17_f5_c3","",0.3524,0.6368,"bulk_1.0.0"
"","943330770615015034",true,36.9486332,false,"",0.20146956,0.04164329,0.0427035,"",1,true,1,20.565735,18.88137,58697.33077549981,"ZTF19abiajjl",0,943330770615,278.5517687,"ztf","ztf",20.87574,0.19743593,0.9999982,"d6_m7",20.41,20.8864,943,0.7614286,"t17_f5_c3",726120106,0.258,0.5052,"bulk_1.0.0"
