aid,diffmaglim,fid,mjd,oid,sid,tid
"",20.009,1,58663.45425930014,"ZTF19abiajjl","","ztf"
"",20.8015,1,58665.23383100005,"ZTF19abiajjl","","ztf"
"",20.692,1,58666.238275500014,"ZTF19abiajjl","","ztf"
"",20.7102,1,58668.279305600096,"ZTF19abiajjl","","ztf"
"",20.8548,1,58668.28393519996,"ZTF19abiajjl","","ztf"
"",20.784,1,58669.28622689983,"ZTF19abiajjl","","ztf"
"",20.9132,1,58672.35157410009,"ZTF19abiajjl","","ztf"
"",20.5976,1,58674.3388772998,"ZTF19abiajjl","","ztf"
"",20.5599,1,58674.342106500175,"ZTF19abiajjl","","ztf"
"",20.3917,1,58675.34181710007,"ZTF19abiajjl","","ztf"
"",19.9377,1,58677.34140049992,"ZTF19abiajjl","","ztf"
"",20.0476,1,58677.342777799815,"ZTF19abiajjl","","ztf"
"",19.8806,1,58678.2841897998,"ZTF19abiajjl","","ztf"
"",19.9088,1,58678.32017360022,"ZTF19abiajjl","","ztf"
"",19.8397,1,58679.302789399866,"ZTF19abiajjl","","ztf"
"",19.72,1,58679.30515050003,"ZTF19abiajjl","","ztf"
"",19.5825,1,58680.20567130018,"ZTF19abiajjl","","ztf"
"",19.4512,1,58680.21858800016,"ZTF19abiajjl","","ztf"
"",19.5098,1,58681.22023149999,"ZTF19abiajjl","","ztf"
"",19.4949,1,58681.22612270014,"ZTF19abiajjl","","ztf"
"",19.5872,1,58681.22657410009,"ZTF19abiajjl","","ztf"
"",19.7674,1,58682.19556709984,"ZTF19abiajjl","","ztf"
"",19.9939,1,58682.21993059991,"ZTF19abiajjl","","ztf"
"",18.9517,1,58683.279351899866,"ZTF19abiajjl","","ztf"
"",19.5597,1,58683.28034720011,"ZTF19abiajjl","","ztf"
"",20.4554,1,58684.21861110022,"ZTF19abiajjl","","ztf"
"",19.9006,1,58684.26938659977,"ZTF19abiajjl","","ztf"
"",19.9069,1,58684.270416699816,"ZTF19abiajjl","","ztf"
"",20.0414,1,58685.367928199936,"ZTF19abiajjl","","ztf"
"",19.9656,1,58685.368981500156,"ZTF19abiajjl","","ztf"
"",20.7498,1,58688.30672449991,"ZTF19abiajjl","","ztf"
"",19.7951,1,58695.31019680016,"ZTF19abiajjl","","ztf"
"",20.5996,2,58663.33734950004,"ZTF19abiajjl","","ztf"
"",20.6616,2,58668.3297917,"ZTF19abiajjl","","ztf"
"",20.6891,2,58669.4071411998,"ZTF19abiajjl","","ztf"
"",20.323,2,58675.28488430008,"ZTF19abiajjl","","ztf"
"",20.1508,2,58677.281990699936,"ZTF19abiajjl","","ztf"
"",20.0943,2,58678.21928239986,"ZTF19abiajjl","","ztf"
"",19.9716,2,58678.24655089993,"ZTF19abiajjl","","ztf"
"",19.9653,2,58678.24701389996,"ZTF19abiajjl","","ztf"
"",20.0281,2,58679.24335649982,"ZTF19abiajjl","","ztf"
"",19.8687,2,58679.24565970013,"ZTF19abiajjl","","ztf"
"",19.7533,2,58680.27769679995,"ZTF19abiajjl","","ztf"
"",19.8887,2,58680.2801620001,"ZTF19abiajjl","","ztf"
"",19.8523,2,58681.25937499991,"ZTF19abiajjl","","ztf"
"",19.8325,2,58681.28040509997,"ZTF19abiajjl","","ztf"
"",19.8524,2,58681.294722199906,"ZTF19abiajjl","","ztf"
"",20.0508,2,58682.2643519002,"ZTF19abiajjl","","ztf"
"",19.9221,2,58682.26586809987,"ZTF19abiajjl","","ztf"
"",20.2032,2,58683.222951400094,"ZTF19abiajjl","","ztf"
"",19.9473,2,58683.22405089997,"ZTF19abiajjl","","ztf"
"",20.1576,2,58683.2511574002,"ZTF19abiajjl","","ztf"
"",20.1128,2,58683.25225690007,"ZTF19abiajjl","","ztf"
"",20.1709,2,58684.24137730012,"ZTF19abiajjl","","ztf"
"",20.0884,2,58684.24248840008,"ZTF19abiajjl","","ztf"
"",20.2983,2,58685.34284720011,"ZTF19abiajjl","","ztf"
"",20.127,2,58685.34393520001,"ZTF19abiajjl","","ztf"
"",20.3984,2,58688.370463000145,"ZTF19abiajjl","","ztf"
"",20.2359,2,58688.392569399904,"ZTF19abiajjl","","ztf"
"",20.5535,2,58690.344699100126,"ZTF19abiajjl","","ztf"
"",20.4432,2,58690.34515050007,"ZTF19abiajjl","","ztf"
"",20.5759,2,58691.199479199946,"ZTF19abiajjl","","ztf"
"",20.5828,2,58691.20041669998,"ZTF19abiajjl","","ztf"
"",20.4297,2,58692.321840300225,"ZTF19abiajjl","","ztf"
"",20.4781,2,58692.32640049979,"ZTF19abiajjl","","ztf"
"",20.4979,2,58693.22292819992,"ZTF19abiajjl","","ztf"
"",20.5618,2,58694.19946759986,"ZTF19abiajjl","","ztf"
"",17.0568,2,58695.280798600055,"ZTF19abiajjl","","ztf"
"",20.6115,2,58696.282245399896,"ZTF19abiajjl","","ztf"
"",20.5887,2,58697.30425930023,"ZTF19abiajjl","","ztf"
