aid,diffmaglim,fid,mjd,oid,sid,tid
"",19.9912,1,59129.300995400175,"ZTF20acozeqm","","ztf"
"",19.6341,1,59131.34270829987,"ZTF20acozeqm","","ztf"
"",20.3891,1,59134.218020800035,"ZTF20acozeqm","","ztf"
"",20.6762,1,59136.22112269979,"ZTF20acozeqm","","ztf"
"",20.401,1,59138.218900499865,"ZTF20acozeqm","","ztf"
"",18.1749,1,59142.20115739992,"ZTF20acozeqm","","ztf"
"",20.2604,1,59144.1484375,"ZTF20acozeqm","","ztf"
"",19.4444,1,59149.40531249996,"ZTF20acozeqm","","ztf"
"",19.5394,1,59151.20438659983,"ZTF20acozeqm","","ztf"
"",19.4737,1,59153.20004629996,"ZTF20acozeqm","","ztf"
"",20.4059,1,59172.11236110004,"ZTF20acozeqm","","ztf"
"",20.0214,1,59188.17701390013,"ZTF20acozeqm","","ztf"
"",19.5465,1,59193.17203699984,"ZTF20acozeqm","","ztf"
"",19.5493,1,59199.28251159983,"ZTF20acozeqm","","ztf"
"",19.8655,1,59202.20318289986,"ZTF20acozeqm","","ztf"
"",19.5709,1,59204.2453935002,"ZTF20acozeqm","","ztf"
"",17.2179,1,59206.17484949995,"ZTF20acozeqm","","ztf"
"",19.2205,1,59210.21814810019,"ZTF20acozeqm","","ztf"
"",18.2855,1,59216.193738400005,"ZTF20acozeqm","","ztf"
"",20.0752,1,59218.20310189994,"ZTF20acozeqm","","ztf"
"",18.4562,1,59222.178368099965,"ZTF20acozeqm","","ztf"
"",19.5617,1,59224.18024310004,"ZTF20acozeqm","","ztf"
"",19.6938,1,59226.20195600018,"ZTF20acozeqm","","ztf"
"",20.029,1,59230.19497689977,"ZTF20acozeqm","","ztf"
"",17.9402,1,59380.43140049977,"ZTF20acozeqm","","ztf"
"",19.3495,1,59387.37000000011,"ZTF20acozeqm","","ztf"
"",19.7548,1,59393.345949099865,"ZTF20acozeqm","","ztf"
"",19.8019,1,59395.39224540023,"ZTF20acozeqm","","ztf"
"",17.9661,1,59417.36240739981,"ZTF20acozeqm","","ztf"
"",18.7495,1,59419.40079860017,"ZTF20acozeqm","","ztf"
"",20.7292,1,59459.30298609985,"ZTF20acozeqm","","ztf"
"",20.4795,1,59461.24895829987,"ZTF20acozeqm","","ztf"
"",20.6397,1,59463.249050899874,"ZTF20acozeqm","","ztf"
"",20.3816,1,59465.319317100104,"ZTF20acozeqm","","ztf"
"",20.3288,1,59467.200902800076,"ZTF20acozeqm","","ztf"
"",20.7254,1,59469.26553239999,"ZTF20acozeqm","","ztf"
"",20.3288,1,59471.28920139978,"ZTF20acozeqm","","ztf"
"",20.7366,1,59473.394513899926,"ZTF20acozeqm","","ztf"
"",19.5812,1,59476.470902800094,"ZTF20acozeqm","","ztf"
"",19.157,1,59478.34513889998,"ZTF20acozeqm","","ztf"
"",19.4859,1,59480.34775459999,"ZTF20acozeqm","","ztf"
"",18.0149,1,59485.30348380003,"ZTF20acozeqm","","ztf"
"",20.3998,1,59501.43601850001,"ZTF20acozeqm","","ztf"
"",19.6875,1,59503.222650500014,"ZTF20acozeqm","","ztf"
"",20.1237,1,59512.224710599985,"ZTF20acozeqm","","ztf"
"",19.2772,1,59527.21902780002,"ZTF20acozeqm","","ztf"
