flarename,ra,dec,Redshift,MJDpeak,tg,mjd,mjd_peak_fit,tg_rise_fit
J120437.98+500024.0,181.15824999999998,50.00666666666667,0.389,58894,17,58838.26189714844,58893.57491022227,18.43767102460959
J124942.30+344928.9,192.42624999999995,34.82469444444445,0.438,58671,16,58647.677717724735,58662.29315642755,4.871812900939159
J140941.88+552928.1,212.4245,55.49113888888889,0.074,58616,11,58577.85502340216,58611.36399475382,11.169657117220032
J143157.51+451544.0,217.98962499999996,45.26222222222222,0.693,58859,12,58649.124429462405,58861.112503462755,70.66269133345072
J143536.15+173755.4,218.90062499999996,17.632055555555556,0.095,58673,9,58654.354927973145,58676.17802403672,7.274365354525886
J145500.22+321637.1,223.75091666666665,32.27697222222222,0.177,58590,14,58369.57044706018,58594.30644511495,74.91199935158997
J152433.35+274311.6,231.1389583333333,27.71988888888889,0.069,58611,8,58578.27852091318,58611.628826741326,11.116768609380319
J154342.46+461233.4,235.92691666666664,46.20927777777778,0.599,58975,21,58869.753741196895,58966.727045331725,32.32443471161033
J154806.31+291216.3,237.02629166666665,29.204527777777777,1.09,58997,55,58719.8639195526,59000.51629127434,93.55079057391517
J160822.16+401217.8,242.0923333333333,40.20494444444445,0.627,58921,27,58825.684903967325,58930.99999999999,35.105032010890376
J161833.77+263226.0,244.64070833333332,26.540555555555557,0.126,58600,11,58576.19715311949,58596.693734140696,6.832193673736537
J163641.61+092459.2,249.173375,9.416444444444444,1.155,58694,9,58680.438740696765,58691.14058324152,3.567280848251754
J181719.95+541910.0,274.333125,54.31944444444445,0.234,58784,17,58715.7698454906,58781.35357284072,21.86124245004111
J183412.42+365655.2,278.55174999999997,36.94866666666666,0.419,58689,13,58646.95156916643,58694.082239156756,15.710223330109265
J224333.95+760619.2,340.8914583333333,76.10533333333333,0.353,58772,11,58678.47712832344,58777.6937997626,33.07222381305379
J233252.05+034559.7,353.216875,3.766583333333333,1.119,58855,40,58661.72568127878,58845.000000000364,61.09143957385981
J233746.08-013116.3,354.44199999999995,-1.5211944444444443,0.115,58703,8,58695.59047679166,58701.11183701794,1.840453408759725
