gweventname,f_cover,skymap_path,name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW190408_181802,1.0,/hildafs/projects/phy220048p/share/skymaps/IGWN-GWTC2p1-v2-PESkyMaps/IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits,GW190408_181802,GW190408_181802-v2,1238782700.2,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190408_181802-v2,24.8,-3.5,5.4,18.5,-4.0,3.3,14.6,-0.3,0.2,1540.0,-620.0,440.0,-0.03,-0.17,0.13,43.4,-3.0,4.2,18.5,-1.2,1.9,,,,0.29,-0.11,0.07,1e-05,,,1.0,,,41.4,-2.9,3.9
GW190412,1.0,/hildafs/projects/phy220048p/share/skymaps/IGWN-GWTC2p1-v2-PESkyMaps/IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits,GW190412,GW190412_053044-v4,1239082262.1,4,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190412-v4,27.7,-6.0,6.0,9.0,-1.4,2.0,19.8,-0.3,0.2,720.0,-220.0,240.0,0.21,-0.13,0.12,36.8,-4.4,4.7,13.3,-0.5,0.5,,,,0.15,-0.04,0.04,1e-05,,,1.0,,,35.6,-4.5,4.8
GW190413_052954,0.522,/hildafs/projects/phy220048p/share/skymaps/IGWN-GWTC2p1-v2-PESkyMaps/IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits,GW190413_052954,GW190413_052954-v2,1239168612.5,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190413_052954-v2,33.7,-6.4,10.4,24.2,-7.0,6.5,9.0,-0.8,0.4,3320.0,-1400.0,1910.0,-0.04,-0.32,0.27,58.0,-7.8,10.6,24.5,-3.4,4.6,,,,0.56,-0.21,0.25,0.82,,,0.9275,,,55.5,-7.3,10.1
GW190413_134308,0.18,/hildafs/projects/phy220048p/share/skymaps/IGWN-GWTC2p1-v2-PESkyMaps/IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits,GW190413_134308,GW190413_134308-v2,1239198206.7,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190413_134308-v2,51.3,-12.6,16.6,30.4,-12.7,11.7,10.6,-0.5,0.4,3800.0,-1830.0,2480.0,-0.01,-0.38,0.28,81.3,-11.8,16.8,33.3,-6.3,7.8,,,,0.62,-0.26,0.32,0.18,,,0.99058,,,78.0,-11.5,16.1
GW190421_213856,0.0,/hildafs/projects/phy220048p/share/skymaps/IGWN-GWTC2p1-v2-PESkyMaps/IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits,GW190421_213856,GW190421_213856-v2,1239917954.2,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190421_213856-v2,42.0,-7.4,10.1,32.0,-9.8,8.3,10.7,-0.4,0.2,2590.0,-1240.0,1490.0,-0.1,-0.27,0.21,73.6,-9.5,13.2,31.4,-4.6,6.0,,,,0.45,-0.19,0.21,0.0028,,,0.99792,,,70.5,-9.0,12.4
GW190503_185404,0.0,/hildafs/projects/phy220048p/share/skymaps/IGWN-GWTC2p1-v2-PESkyMaps/IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits,GW190503_185404,GW190503_185404-v2,1240944862.2,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190503_185404-v2,41.3,-7.7,10.3,28.3,-9.2,7.5,12.2,-0.4,0.2,1520.0,-600.0,630.0,-0.05,-0.3,0.23,69.4,-8.6,10.1,29.3,-4.4,4.5,,,,0.29,-0.1,0.1,1e-05,,,1.0,,,66.5,-7.9,9.4
GW190512_180714,0.233,/hildafs/projects/phy220048p/share/skymaps/IGWN-GWTC2p1-v2-PESkyMaps/IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits,GW190512_180714,GW190512_180714-v2,1241719652.4,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190512_180714-v2,23.2,-5.6,5.6,12.5,-2.6,3.5,12.7,-0.4,0.3,1460.0,-590.0,510.0,0.02,-0.14,0.13,35.8,-3.5,4.1,14.6,-0.9,1.4,,,,0.28,-0.1,0.08,1e-05,,,1.0,,,34.3,-3.4,4.1
GW190513_205428,0.949,/hildafs/projects/phy220048p/share/skymaps/IGWN-GWTC2p1-v2-PESkyMaps/IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits,GW190513_205428,GW190513_205428-v2,1241816086.7,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190513_205428-v2,36.0,-9.7,10.6,18.3,-4.7,7.4,12.5,-0.4,0.3,2210.0,-810.0,990.0,0.16,-0.22,0.29,54.4,-6.7,9.3,21.8,-2.2,3.8,,,,0.4,-0.13,0.14,1.3e-05,,,0.99998,,,52.1,-6.6,8.8
GW190514_065416,0.652,/hildafs/projects/phy220048p/share/skymaps/IGWN-GWTC2p1-v2-PESkyMaps/IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits,GW190514_065416,GW190514_065416-v2,1241852074.8,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190514_065416-v2,40.9,-9.3,17.3,28.4,-10.1,10.0,8.0,-0.6,0.3,3890.0,-2070.0,2610.0,-0.08,-0.35,0.29,69.3,-12.1,19.8,29.1,-5.4,8.1,,,,0.64,-0.3,0.33,2.8,,,0.76021,,,66.4,-11.5,19.0
GW190517_055101,0.322,/hildafs/projects/phy220048p/share/skymaps/IGWN-GWTC2p1-v2-PESkyMaps/IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits,GW190517_055101,GW190517_055101-v2,1242107479.8,2,GWTC-2.1-confident,https://doi.org/10.7935/qf3a-3z67,https://gwosc.org/api/v2/event-versions/GW190517_055101-v2,39.2,-9.2,13.9,24.0,-7.9,7.4,10.8,-0.6,0.5,1790.0,-880.0,1750.0,0.49,-0.28,0.21,64.1,-9.8,9.9,26.5,-4.2,4.0,,,,0.33,-0.15,0.26,0.00035,,,1.0,,,60.1,-9.4,9.9
