flarename,filter,t_peak,f_peak,t_rise,t_decay,f_base
J053408.41+085450.6,g,58882.59243557995,-0.7903139190720779,10.622088055893437,55.253337007738445,19.664005427955995
J053408.41+085450.6,r,58894.536669383895,-0.9441765535742787,22.048924225826976,21.41801816843316,19.03307974209723
J120437.98+500024.0,g,58896.03763681561,-0.7993102150989254,21.156997013490738,41.006478441207626,19.77615115027143
J120437.98+500024.0,i,58904.010729340735,-0.357595113145685,28.428673201832837,26.631205135569346,19.110974169532334
J120437.98+500024.0,r,58901.56568375341,-0.38887926097536035,22.200757446039116,20.104514877287833,19.281661716361754
J124942.30+344928.9,g,58662.292932662116,-0.3713295344098772,5.148629466715409,64.1481961567207,19.037502367743976
J124942.30+344928.9,i,58764.92829569352,-1.5027177573738801,48.50978365144922,21.398838371637165,18.83739126091765
J124942.30+344928.9,r,58669.741621649024,-0.30571262143712974,12.756899259457052,98.85094338500639,18.885477419638487
J154342.46+461233.4,g,58966.75984865448,-0.11643727455139612,30.296069410219076,201.58925092685755,17.549154255165835
J154342.46+461233.4,i,187555.61677049892,6430.433150247148,10.0,21.879646361408476,17.175166572844535
J154342.46+461233.4,r,58958.42195077134,-0.11302274268229087,-22.5936389646283,368.9666658654673,17.41196565392323
J181719.94+541910.0,g,58781.61568748665,-0.6919392326317086,22.284755719662293,104.4278102957769,20.367077073784536
J181719.94+541910.0,i,,,,,
J181719.94+541910.0,r,58826.04879727309,-0.4921434011379026,44.22597895471735,59.82631943603307,19.488447710256736
J183412.42+365655.3,g,58693.989654169156,-0.25570598148588075,15.627562018693935,36.98699866266732,19.123422474306754
J183412.42+365655.3,i,58684.625638171885,-0.14572122007290528,-0.01742254990357739,17.03848618902094,18.494197066767388
J183412.42+365655.3,r,58691.73425631113,-0.15253184872611683,12.7588250675047,34.175273261056056,18.688751557704183
J224333.95+760619.2,g,58777.76295014256,-0.15088156191042162,32.7611392570985,42.519276380436544,18.497192041207605
J224333.95+760619.2,r,58772.51518142662,-0.11934182249110442,12.191315193534727,34.803258011688015,17.964620908557
